review_text,rating,date,bank,source,app_name,app_id
"After last update, the app keeps crashing, not working. Pls fix it. Mobile transactions become impossible.",1,2024-05-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
👍,5,2024-02-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Slow,1,2024-05-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
The receipt download option is very convenient.,5,2024-02-22,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"Like I said before, the previous version was horrendous! I'm glad that you took time and decided to develop this awesome app. Well done!",5,2024-01-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
❤❤❤❤❤❤,5,2024-11-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Nice app and it's easy to use,5,2025-02-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
the worst app humans ever created,1,2025-06-09,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Interesting,4,2024-02-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good,5,2024-01-29,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Lemn embi yilal??,5,2024-12-30,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Whenever I try to sign in app close please fixed it out,2,2025-01-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
tamaam kamal,1,2025-09-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Very good,5,2024-05-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Vary good app,5,2024-04-15,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good,5,2024-05-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good 👍,5,2024-06-07,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Error occurred try again for 5 days tele birr user not found ለራሴ አዝዤ,1,2024-07-08,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
After update it doesn't work well,2,2024-07-09,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"Lag,...",1,2024-05-06,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It doesnt send birr immediately to anything,1,2024-02-17,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Verry Amazing App from all IB,5,2025-03-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good job!,5,2025-06-13,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good application,5,2024-09-16,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
the new updated app exception handling for connection fluctuations is so exhausting which lead users to login repeated times.,1,2024-04-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Awosome,5,2024-03-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Well Done,4,2024-02-05,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"Installed the latest version of this app on my Android 14 device, but it is not working. I have already received the activation key from your branch (via SMS), but couldn't activate it. It is a failed app. I bet you don't have QA testers.",1,2024-04-24,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It's not working for 3days. Come on as a big bank in Ethiopia this is unprofessionallism from boa,1,2024-05-15,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
One of the best in this business,5,2025-08-25,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It is ok,5,2024-09-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
The worse app I have ever seen.,1,2024-03-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
mobile banking,5,2025-09-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
በጣም ሐሪፍ,5,2025-09-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
The best beautiful app,5,2024-05-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good,5,2024-02-07,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
i like is app boA,4,2024-05-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
nice,5,2024-02-23,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
from the last week updates the app is not working Please check the problems,1,2025-10-08,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
This application is relatively good even if some times interpreted.But apolo is difficult application please improve it.,5,2024-04-28,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Bast bank of ethiopia,5,2024-11-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Great app than others,5,2024-05-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Smart technology,5,2024-09-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Amrumehamed,1,2024-10-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Amaizing Bank in Etthiopia,5,2024-04-30,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
The new version is really nice. Keep it up,4,2024-01-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
wow its so attractive,5,2024-04-09,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Please fix the app i doesn't belongs to Abbssinya Bank Name,1,2024-05-22,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"The app doesnot allow to transfer from foreign currency accounts to local currency accounts , it says transaction not allowed , please check it and also it is difficult to activate the app from abroad countries since the otp doesn't reach by sms and it uses email, it doesn't allow manual otp input and the email hardly received , please review your app and make an update !!!",2,2024-03-22,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Exilent service,5,2024-05-13,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,3,2024-07-24,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
